system:time_start,B1,B2,B3,B4,B5,B6,B7,,,Quarters,(All),,,,,,,,,,,,,,,
02-Feb-15,951.97,"1,111.28","1,150.80","1,343.20","1,335.19","2,980.04","1,191.83",,,,,,,,,,,,,,,,,,,
09-Feb-15,751.792,943.545,998.723,"1,136.02","1,156.71","2,978.00","1,047.70",,,,,,,,,,,,,,,,,,,
18-Feb-15,941.368,"1,049.76","1,155.21","1,451.29","1,460.42","3,026.17","1,288.82",,,,,,,,,,,,,,,,,,,
25-Feb-15,855.892,"1,052.61","1,147.96","1,377.69","1,429.83","2,999.96","1,287.26",,,,,,,,,,,,,,,,,,,
06-Mar-15,739.039,829.401,789.058,906.174,777.227,"2,976.31",641.589,,,,,,,,,,,,,,,,,,,
13-Mar-15,564.705,620.633,622.203,713.522,587.729,"2,932.94",498.647,,,,,,,,,,,,,,,,,,,
22-Mar-15,750.234,846.015,921.687,"1,142.22","1,097.75","3,051.02",971.428,,,,,,,,,,,,,,,,,,,
07-Apr-15,"1,252.64","1,511.18","1,615.64","1,818.37","1,719.84","3,009.54","1,443.33",,,,,,,,,,,,,,,,,,,
14-Apr-15,945.348,"1,125.49","1,204.54","1,406.95","1,401.30","3,009.08","1,225.70",,,,,,,,,,,,,,,,,,,
23-Apr-15,718.256,827.797,830.768,966.932,835.836,"3,025.87",698.618,,,,,,,,,,,,,,,,,,,
30-Apr-15,982.664,"1,224.84","1,358.23","1,598.93","1,642.78","3,097.71","1,489.30",,,,,,,,,,,,,,,,,,,
09-May-15,807.525,993.495,989.534,"1,071.87",942.843,"3,048.82",804.417,,,,,,,,,,,,,,,,,,,
16-May-15,"1,123.76","1,420.55","1,540.76","1,754.50","1,746.42","3,098.71","1,569.32",,,,,,,,,,,,,,,,,,,
25-May-15,"1,078.68","1,270.82","1,425.04","1,766.30","1,719.97","3,051.69","1,463.78",,,,,,,,,,,,,,,,,,,
01-Jun-15,"1,110.37","1,422.37","1,580.93","1,849.85","1,883.63","3,107.26","1,706.55",,,,,,,,,,,,,,,,,,,
05-Sep-15,"2,575.69","2,787.11","2,873.61","3,352.92","2,964.87","2,936.68","2,327.16",,,,,,,,,,,,,,,,,,,
